链接, 职位 ,月薪 ,地点, 公司
https://www.lagou.com/jobs/4130493.html,Python爬虫工程师,10k-20k,静安区,上海勃池信息技术有限公司
https://www.lagou.com/jobs/4085755.html,Python爬虫工程师,13k-20k,虹口区,中腾信金融信息服务（上海）有限公司
https://www.lagou.com/jobs/4107109.html,Java／Python高级开发职责描述（爬虫方向）,15k-28k,浦东新区,上海证大喜马拉雅网络科技有限公司
https://www.lagou.com/jobs/3429880.html,Python研发工程师(爬虫方向),16k-22k,浦东新区,上海聚力传媒技术有限公司
https://www.lagou.com/jobs/4109564.html,Python(爬虫）开发工程师,10k-15k,徐汇区,上海哈希信息科技有限公司
https://www.lagou.com/jobs/4184905.html,Python开发工程师（上海）,15k-30k,浦东新区,平安科技（深圳）有限公司
https://www.lagou.com/jobs/4017292.html,高级爬虫工程师Python（电商、媒体）,18k-25k,普陀区,翔傲信息科技（上海）有限公司
https://www.lagou.com/jobs/4070707.html,Python工程师,8k-15k,浦东新区,上海海万信息科技股份有限公司
https://www.lagou.com/jobs/3346434.html,高级Python研发工程师,15k-30k,徐汇区,上海贝涛金融信息服务有限公司
https://www.lagou.com/jobs/3980046.html,Python开发工程师,20k-40k,浦东新区,上海华瑞银行股份有限公司
https://www.lagou.com/jobs/4121644.html,Java/Python资深开发工程师,35k-70k,静安区,上海互趣网络科技有限公司
https://www.lagou.com/jobs/3885914.html,后端python工程师,15k-25k,浦东新区,达疆网络科技（上海）有限公司
https://www.lagou.com/jobs/2688021.html,高级Python后端研发工程师,15k-30k,浦东新区,上海斗象信息科技有限公司
https://www.lagou.com/jobs/4183081.html,Python开发工程师,15k-30k,徐汇区,上海淑礼信息科技有限公司
https://www.lagou.com/jobs/4186140.html,Python工程师,15k-30k,浦东新区,上海基分文化传播有限公司
